"동별(1)"	동별(2)	동별(3)	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4
"동별(1)"	동별(2)	동별(3)	세대 (세대)	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
"동별(1)"	동별(2)	동별(3)	소계	남자	여자	소계	남자	여자	소계	남자	여자	소계	소계
"합계"	강서구	소계	266366	284747	304789	583544	281951	301593	5992	2796	3196	2.19	88052
"합계"	강서구	염창동	15776	20477	21600	41954	20421	21533	123	56	67	2.66	4170
"합계"	강서구	등촌1동	12835	11274	12779	23850	11205	12645	203	69	134	1.86	2783
"합계"	강서구	등촌2동	8800	10528	10972	21378	10478	10900	122	50	72	2.43	3063
"합계"	강서구	등촌3동	15041	15219	16709	31742	15153	16589	186	66	120	2.11	6428
"합계"	강서구	화곡본동	16749	17189	18066	34844	17022	17822	411	167	244	2.08	4715
"합계"	강서구	화곡1동	26810	26139	27622	52675	25656	27019	1086	483	603	1.96	8086
"합계"	강서구	화곡2동	8234	9180	9717	18604	9054	9550	293	126	167	2.26	2825
"합계"	강서구	화곡3동	9444	10637	11535	22004	10567	11437	168	70	98	2.33	3916
"합계"	강서구	화곡4동	9737	10562	11036	21267	10417	10850	331	145	186	2.18	3710
"합계"	강서구	화곡6동	12230	12377	12944	25114	12296	12818	207	81	126	2.05	3777
"합계"	강서구	화곡8동	11796	12435	13445	25401	12220	13181	479	215	264	2.15	4260
"합계"	강서구	가양1동	19933	15936	18579	34152	15729	18423	363	207	156	1.71	2931
"합계"	강서구	가양2동	8091	6987	7795	14693	6963	7730	89	24	65	1.82	3843
"합계"	강서구	가양3동	7922	7400	8378	15672	7353	8319	106	47	59	1.98	3543
"합계"	강서구	발산1동	13588	17951	19929	37735	17900	19835	145	51	94	2.78	4610
"합계"	강서구	공항동	12773	14217	13531	27018	13727	13291	730	490	240	2.12	3792
