"동별(1)"	동별(2)	동별(3)	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4	2020 3/4
"동별(1)"	동별(2)	동별(3)	세대 (세대)	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
"동별(1)"	동별(2)	동별(3)	소계	남자	여자	소계	남자	여자	소계	남자	여자	소계	소계
"합계"	영등포구	양평1동	9001	8714	8982	17365	8555	8810	331	159	172	1.93	2360
"합계"	영등포구	양평2동	10279	11266	11368	22392	11141	11251	242	125	117	2.18	2489
"합계"	영등포구	신길1동	10410	9931	9483	17546	8910	8636	1868	1021	847	1.69	3375
"합계"	영등포구	신길3동	7662	9094	9182	17010	8400	8610	1266	694	572	2.22	3057
"합계"	영등포구	신길4동	4368	4985	4804	8855	4436	4419	934	549	385	2.03	1911
"합계"	영등포구	신길5동	4980	6231	6432	11206	5411	5795	1457	820	637	2.25	2060
"합계"	영등포구	신길6동	8598	9343	9637	17863	8731	9132	1117	612	505	2.08	3162
"합계"	영등포구	신길7동	7910	10250	10318	20352	10139	10213	216	111	105	2.57	2391
"합계"	영등포구	대림1동	7159	9143	8725	14750	7344	7406	3118	1799	1319	2.06	3079
"합계"	영등포구	대림2동	6889	10666	9723	12369	6067	6302	8020	4599	3421	1.80	3025
"합계"	영등포구	대림3동	10450	14095	13506	23128	11613	11515	4473	2482	1991	2.21	4336
"합계"	영등포구	영등포본동	10315	12446	11710	21624	11057	10567	2532	1389	1143	2.10	4032
"합계"	영등포구	영등포동	18442	15092	12950	27381	14754	12627	661	338	323	1.48	3492
"합계"	영등포구	도림동	9441	10651	10437	18416	9243	9173	2672	1408	1264	1.95	3362
"합계"	영등포구	문래동	13131	16113	16679	32591	16013	16578	201	100	101	2.48	4605
"합계"	동작구	소계	184193	195373	209244	393554	190422	203132	11063	4951	6112	2.14	64674
"합계"	동작구	노량진1동	15762	16241	16426	32312	16087	16225	355	154	201	2.05	5616
"합계"	동작구	노량진2동	7283	6964	6542	12580	6490	6090	926	474	452	1.73	2704
"합계"	동작구	상도1동	21584	22678	24459	45394	21978	23416	1743	700	1043	2.10	6813
"합계"	동작구	상도2동	12675	13656	14812	28141	13539	14602	327	117	210	2.22	4371
"합계"	동작구	상도3동	12075	12281	13378	25272	12087	13185	387	194	193	2.09	4305
"합계"	동작구	상도4동	13814	14328	15229	29146	14151	14995	411	177	234	2.11	4884
"합계"	동작구	사당1동	13275	11327	12457	23160	11025	12135	624	302	322	1.74	3647
"합계"	동작구	사당2동	11987	13412	14488	27459	13215	14244	441	197	244	2.29	5195
"합계"	동작구	사당3동	10542	12288	13142	25173	12177	12996	257	111	146	2.39	4350
"합계"	동작구	사당4동	7183	7023	7700	14538	6934	7604	185	89	96	2.02	2586
"합계"	동작구	사당5동	6613	7215	7666	14772	7171	7601	109	44	65	2.23	2225
"합계"	동작구	대방동	17289	18780	20650	39032	18578	20454	398	202	196	2.26	5578
"합계"	동작구	신대방1동	10235	12765	13396	23753	11457	12296	2408	1308	1100	2.32	3705
"합계"	동작구	신대방2동	9486	9769	10775	20269	9658	10611	275	111	164	2.14	3022
"합계"	동작구	흑석동	14390	16646	18124	32553	15875	16678	2217	771	1446	2.26	5673
"합계"	관악구	소계	275248	257638	256917	498574	250084	248490	15981	7554	8427	1.81	78206
"합계"	관악구	남현동	9518	9010	9670	18455	8917	9538	225	93	132	1.94	2709
"합계"	관악구	보라매동	12495	12546	12983	24665	12106	12559	864	440	424	1.97	4354
"합계"	관악구	청림동	6591	7776	8132	15782	7725	8057	126	51	75	2.39	2706
"합계"	관악구	행운동	17381	14510	15490	29474	14311	15163	526	199	327	1.70	4295
"합계"	관악구	낙성대동	11230	9002	8856	17229	8701	8528	629	301	328	1.53	1972
"합계"	관악구	중앙동	9789	7593	8423	15581	7428	8153	435	165	270	1.59	2402
"합계"	관악구	인헌동	14230	13015	13751	26403	12874	13529	363	141	222	1.86	3933
"합계"	관악구	서원동	14207	12256	11621	23091	11877	11214	786	379	407	1.63	3255
"합계"	관악구	신원동	10931	9796	9799	18470	9235	9235	1125	561	564	1.69	3219
"합계"	관악구	서림동	14595	13378	11154	23935	13136	10799	597	242	355	1.64	3466
"합계"	관악구	신사동	7399	7984	9162	16890	7841	9049	256	143	113	2.00	2931
"합계"	관악구	신림동	17352	11845	10999	21979	11427	10552	865	418	447	1.27	1970
"합계"	관악구	난향동	6456	7928	8154	15960	7862	8098	122	66	56	2.47	2739
"합계"	관악구	조원동	10639	9896	9552	17613	8898	8715	1835	998	837	1.66	2789
"합계"	관악구	대학동	16266	14870	10142	23784	14371	9413	1228	499	729	1.46	2836
"합계"	관악구	은천동	16101	17002	17814	34208	16739	17469	608	263	345	2.12	5756
"합계"	관악구	성현동	12569	14814	15806	30444	14742	15702	176	72	104	2.42	5304
"합계"	관악구	청룡동	22511	17372	18956	35047	16811	18236	1281	561	720	1.56	4389
"합계"	관악구	난곡동	13017	14091	14074	27632	13843	13789	533	248	285	2.12	5233
"합계"	관악구	삼성동	11420	12286	12322	24445	12226	12219	163	60	103	2.14	5746
"합계"	관악구	미성동	14234	15696	16371	31438	15372	16066	629	324	305	2.21	5625
"합계"	서초구	소계	173483	205671	224324	426009	203686	222323	3986	1985	2001	2.46	59495
"합계"	서초구	서초1동	9354	10230	11034	21067	10134	10933	197	96	101	2.25	2990
"합계"	서초구	서초2동	8730	9109	10050	18921	8966	9955	238	143	95	2.17	2211
"합계"	서초구	서초3동	14240	15403	16307	31364	15242	16122	346	161	185	2.20	4576
"합계"	서초구	서초4동	11079	15530	16340	31619	15387	16232	251	143	108	2.85	4037
"합계"	서초구	잠원동	12449	14706	16071	30583	14611	15972	194	95	99	2.46	3573
"합계"	서초구	반포본동	4114	5714	6356	12013	5686	6327	57	28	29	2.92	1959
"합계"	서초구	반포1동	14357	15860	16973	32495	15706	16789	338	154	184	2.26	3478
"합계"	서초구	반포2동	5122	7790	8526	16152	7713	8439	164	77	87	3.15	1928
"합계"	서초구	반포3동	7734	10561	11752	22256	10533	11723	57	28	29	2.88	2851
"합계"	서초구	반포4동	7288	9498	10519	19442	9187	10255	575	311	264	2.67	2794
"합계"	서초구	방배본동	8019	9927	11489	21235	9841	11394	181	86	95	2.65	3008
"합계"	서초구	방배1동	7692	8198	9334	17413	8141	9272	119	57	62	2.26	2816
"합계"	서초구	방배2동	8695	9645	10889	20381	9569	10812	153	76	77	2.34	3478
"합계"	서초구	방배3동	8351	10523	11278	21664	10455	11209	137	68	69	2.59	3693
"합계"	서초구	방배4동	9810	10990	13047	23757	10862	12895	280	128	152	2.42	3364
"합계"	서초구	양재1동	18299	21635	23615	44878	21463	23415	372	172	200	2.45	6742
"합계"	서초구	양재2동	10818	11458	11334	22528	11320	11208	264	138	126	2.08	2821
"합계"	서초구	내곡동	7332	8894	9410	18241	8870	9371	63	24	39	2.49	3176
"합계"	강남구	소계	234021	260358	283727	539235	257961	281274	4850	2397	2453	2.30	73942
"합계"	강남구	신사동	13716	12956	12848	22939	11483	11456	2865	1473	1392	2.00	3508
"합계"	강남구	논현1동	14450	11180	12623	23108	10821	12287	695	359	336	1.60	2970
"합계"	강남구	논현2동	11633	10224	11809	21772	10107	11665	261	117	144	1.87	3113
"합계"	강남구	삼성1동	5785	6974	7056	13795	6819	6976	235	155	80	2.38	2118
"합계"	강남구	삼성2동	13468	14512	15966	30236	14376	15860	242	136	106	2.25	3376
"합계"	강남구	대치1동	7407	12621	12514	25102	12601	12501	33	20	13	3.39	2316
"합계"	강남구	대치2동	13079	19427	18766	38053	19341	18712	140	86	54	2.91	4588
"합계"	강남구	대치4동	10338	9842	11027	20592	9709	10883	277	133	144	1.99	2022
"합계"	강남구	역삼1동	24143	17965	19151	36168	17540	18628	948	425	523	1.50	3644
"합계"	강남구	역삼2동	15730	17596	19901	37175	17442	19733	322	154	168	2.36	3607
"합계"	강남구	도곡1동	8662	10599	11762	22212	10518	11694	149	81	68	2.56	2883
"합계"	강남구	도곡2동	11863	15966	18384	34239	15898	18341	111	68	43	2.89	4669
"합계"	강남구	개포1동	2682	3278	3509	6762	3268	3494	25	10	15	2.52	1559
"합계"	강남구	개포2동	8089	10856	11615	22405	10820	11585	66	36	30	2.77	3094
"합계"	강남구	개포4동	7884	9011	9380	18231	8948	9283	160	63	97	2.31	2443
"합계"	강남구	일원본동	8152	11862	12224	24053	11844	12209	33	18	15	2.95	2810
"합계"	강남구	일원1동	7482	7855	8189	15886	7798	8088	158	57	101	2.12	3142
"합계"	강남구	일원2동	7389	8665	9261	17854	8643	9211	72	22	50	2.42	3155
"합계"	강남구	수서동	7872	7058	8459	15446	7039	8407	71	19	52	1.96	4323
"합계"	강남구	세곡동	17980	21340	23537	44686	21260	23426	191	80	111	2.49	6330
"합계"	강남구	압구정동	10688	12730	14881	27443	12638	14805	168	92	76	2.57	5047
"합계"	강남구	청담동	11846	12813	14551	27127	12690	14437	237	123	114	2.29	3802
"합계"	송파구	소계	281417	326602	350071	670331	323646	346685	6342	2956	3386	2.38	92149
"합계"	송파구	풍납1동	6459	7354	7560	14145	6975	7170	769	379	390	2.19	2787
"합계"	송파구	풍납2동	11132	12301	13579	25696	12216	13480	184	85	99	2.31	3629
"합계"	송파구	거여1동	5624	6668	6440	13003	6629	6374	105	39	66	2.31	2285
"합계"	송파구	거여2동	8147	9433	9785	19133	9402	9731	85	31	54	2.35	3408
"합계"	송파구	마천1동	9010	10267	9892	19966	10191	9775	193	76	117	2.22	4116
"합계"	송파구	마천2동	8858	10092	9790	19713	10019	9694	169	73	96	2.23	4015
"합계"	송파구	방이1동	6311	7871	8473	16233	7817	8416	111	54	57	2.57	2095
"합계"	송파구	방이2동	14408	12567	14088	26129	12328	13801	526	239	287	1.81	3417
"합계"	송파구	오륜동	5961	9174	9450	18613	9169	9444	11	5	6	3.12	2563
"합계"	송파구	오금동	15858	19585	20809	40220	19503	20717	174	82	92	2.54	6046
"합계"	송파구	송파1동	12434	11972	13480	25044	11759	13285	408	213	195	2.01	3362
"합계"	송파구	송파2동	7599	10021	10821	20683	9942	10741	159	79	80	2.72	2847
"합계"	송파구	석촌동	17120	15997	17585	32897	15673	17224	685	324	361	1.92	4380
"합계"	송파구	삼전동	16309	15125	16892	31627	14964	16663	390	161	229	1.94	3866
"합계"	송파구	가락본동	11952	13613	13878	27152	13454	13698	339	159	180	2.27	3586
"합계"	송파구	가락1동	9927	13579	14398	27898	13549	14349	79	30	49	2.81	2969
"합계"	송파구	가락2동	12343	16336	16922	33057	16246	16811	201	90	111	2.68	4012
"합계"	송파구	문정1동	8570	10364	10679	20851	10279	10572	192	85	107	2.43	2881
"합계"	송파구	문정2동	15543	13759	15977	29570	13694	15876	166	65	101	1.90	3792
"합계"	송파구	장지동	12185	14848	15844	30508	14750	15758	184	98	86	2.50	4111
"합계"	송파구	잠실본동	15464	13856	15522	28811	13599	15212	567	257	310	1.86	3660
"합계"	송파구	잠실2동	11954	17472	19042	36412	17413	18999	102	59	43	3.05	3414
"합계"	송파구	잠실3동	12158	16970	18666	35444	16872	18572	192	98	94	2.92	5356
"합계"	송파구	잠실4동	7447	10583	11365	21867	10546	11321	81	37	44	2.94	2672
"합계"	송파구	잠실6동	5964	8254	9138	17199	8143	9056	193	111	82	2.88	2726
"합계"	송파구	잠실7동	3467	4662	5344	9991	4654	5337	15	8	7	2.88	2090
"합계"	송파구	위례동	9213	13879	14652	28469	13860	14609	62	19	43	3.09	2064
"합계"	강동구	소계	194602	227346	234929	458058	225396	232662	4217	1950	2267	2.35	68798
"합계"	강동구	상일동	11524	16333	16818	33026	16276	16750	125	57	68	2.87	3569
"합계"	강동구	명일1동	10136	12958	13614	26481	12924	13557	91	34	57	2.61	3812
"합계"	강동구	명일2동	6022	8618	8861	17432	8598	8834	47	20	27	2.89	2409
"합계"	강동구	고덕1동	8895	13429	12994	26306	13353	12953	117	76	41	2.96	2770
"합계"	강동구	고덕2동	8422	11088	10818	21793	11029	10764	113	59	54	2.59	2696
"합계"	강동구	암사1동	16209	17831	18229	35744	17704	18040	316	127	189	2.21	5889
"합계"	강동구	암사2동	6355	7536	8020	15494	7512	7982	62	24	38	2.44	2311
"합계"	강동구	암사3동	6359	9003	9399	18347	8978	9369	55	25	30	2.89	2484
"합계"	강동구	천호1동	12919	13708	14191	27613	13605	14008	286	103	183	2.14	4987
"합계"	강동구	천호2동	17899	17640	18048	34943	17263	17680	745	377	368	1.95	5954
"합계"	강동구	천호3동	13891	13349	13920	26756	13093	13663	513	256	257	1.93	4538
"합계"	강동구	성내1동	8213	9902	10528	20299	9850	10449	131	52	79	2.47	2941
"합계"	강동구	성내2동	12817	12249	12687	24217	11879	12338	719	370	349	1.89	4176
"합계"	강동구	성내3동	10556	11655	12074	23450	11541	11909	279	114	165	2.22	3659
"합계"	강동구	둔촌1동	160	128	144	259	123	136	13	5	8	1.62	97
"합계"	강동구	둔촌2동	11188	13324	13761	26948	13260	13688	137	64	73	2.41	4162
"합계"	강동구	길동	21471	22923	24074	46672	22805	23867	325	118	207	2.17	7587
"합계"	강동구	강일동	11566	15672	16749	32278	15603	16675	143	69	74	2.79	4757
   
